,FIPS,democrat,republican,prcpMm,prcpMm1015,shareRep,year,shareDem,avgTemp,avgTempPast,tempDiff,rainDiff,booYear,booRain,booPastRain
14,1029.0,971.0,5272.0,1.5666666666666698,1.5666666666666698,0.836161776367962,2012,0.15400475812846948,10.629166666666665,10.629166666666665,0.0,0.0,False,True,True
15,1031.0,4925.0,14666.0,8.825,8.825,0.741831057157309,2012,0.24911482043500252,12.45,12.45,0.0,0.0,False,True,True
15,1031.0,4221.0,15875.0,0.0,8.825,0.47354134351509364,2016,0.12590979596706836,20.55,12.45,8.100000000000001,-8.825,True,False,True
16,1033.0,7312.0,16746.0,0.0,0.21703703703703697,0.43684457661605886,2016,0.19074450879115146,17.6833333333333,10.069444444444464,7.613888888888837,-0.21703703703703697,True,False,False
16,1033.0,9166.0,13936.0,0.21703703703703697,0.21703703703703697,0.5959375668163353,2012,0.3919606585418003,10.069444444444464,10.069444444444464,0.0,0.0,False,False,False
17,1035.0,3555.0,3439.0,5.525,5.525,0.4897465109655369,2012,0.5062660210766163,12.866666666666651,12.866666666666651,0.0,0.0,False,True,True
17,1035.0,3080.0,3420.0,0.0,5.525,0.32608695652173914,2016,0.2936689549961861,19.45,12.866666666666651,6.583333333333348,-5.525,True,False,True
18,1037.0,2191.0,3049.0,2.4833333333333303,2.4833333333333303,0.5786676788764471,2012,0.41582843044220913,11.075000000000001,11.075000000000001,0.0,0.0,False,True,True
19,1039.0,2387.0,13267.0,0.0,4.45,0.523414999802738,2016,0.09417288041977355,17.6875,13.740972222222199,3.946527777777801,-4.45,True,False,True
19,1039.0,3158.0,12153.0,4.45,4.45,0.7879789924139272,2012,0.20475912598067822,13.740972222222199,13.740972222222199,0.0,0.0,False,True,True
20,1041.0,1664.0,4513.0,0.0,7.6,0.45320345450893756,2016,0.1671018276762402,18.15,12.637499999999987,5.512500000000012,-7.6,True,False,True
20,1041.0,2050.0,4331.0,7.6,7.6,0.6748208164537239,2012,0.31941414770956683,12.637499999999987,12.637499999999987,0.0,0.0,False,True,True
21,1043.0,5052.0,28999.0,0.71875,0.71875,0.841599674957193,2012,0.14661752328989755,9.656666666666666,9.656666666666666,0.0,0.0,False,True,True
21,1043.0,3798.0,32989.0,0.0,0.71875,0.5900586678114045,2016,0.06793303283966516,16.560000000000002,9.656666666666666,6.903333333333336,-0.71875,True,False,True
22,1045.0,4413.0,13808.0,0.0,7.82083333333333,0.43946530872056017,2016,0.14045194143857415,16.4,13.193055555555533,3.2069444444444652,-7.82083333333333,True,False,True
22,1045.0,5286.0,13108.0,7.82083333333333,7.82083333333333,0.7063641752438433,2012,0.28485207738319773,13.193055555555533,13.193055555555533,0.0,0.0,False,True,True
23,1047.0,12836.0,5789.0,0.0,2.31904761904762,0.17795880725484167,2016,0.39458960959114664,17.46,11.33333333333335,6.126666666666651,-2.31904761904762,True,False,True
23,1047.0,14612.0,6288.0,2.31904761904762,2.31904761904762,0.3001002243115544,2012,0.6973703049682624,11.33333333333335,11.33333333333335,0.0,0.0,False,True,True
24,1049.0,3622.0,21405.0,0.0,0.43958333333333294,0.5243239271017048,2016,0.08872232020380169,15.149999999999986,9.245833333333335,5.904166666666651,-0.43958333333333294,True,False,True
24,1049.0,5239.0,18331.0,0.43958333333333294,0.43958333333333294,0.7681766751875289,2012,0.21954490214977163,9.245833333333335,9.245833333333335,0.0,0.0,False,True,True
25,1051.0,8954.0,26253.0,2.41011904761905,2.41011904761905,0.7398337325630548,2012,0.25233197125546003,10.6,10.6,0.0,0.0,False,True,True
25,1051.0,8443.0,27634.0,0.0,2.41011904761905,0.5111633155139564,2016,0.15617543145705776,15.85,10.6,5.25,-2.41011904761905,True,False,True
26,1053.0,5489.0,9287.0,8.17777777777778,8.17777777777778,0.6245880691371309,2012,0.36915730714910217,12.94374999999998,12.94374999999998,0.0,0.0,False,True,True
26,1053.0,4605.0,9935.0,0.0,8.17777777777778,0.40760646590629357,2016,0.1889308279314023,19.4166666666667,12.94374999999998,6.47291666666672,-8.17777777777778,True,False,True
27,1055.0,10442.0,32353.0,0.0,3.05833333333333,0.466484031432485,2016,0.15055871963088457,16.7,12.55666666666665,4.143333333333349,-3.05833333333333,True,False,True
27,1055.0,12803.0,29130.0,3.05833333333333,3.05833333333333,0.6849282859158241,2012,0.3010345638372913,12.55666666666665,12.55666666666665,0.0,0.0,False,True,True
28,1057.0,1817.0,6054.0,1.5833333333333302,1.5833333333333302,0.7618927762396174,2012,0.22866851245909892,9.44166666666665,9.44166666666665,0.0,0.0,False,True,True
28,1057.0,1362.0,6712.0,0.0,1.5833333333333302,0.5522007404360345,2016,0.11205265322912382,15.0,9.44166666666665,5.55833333333335,-1.5833333333333302,True,False,True
29,1059.0,2197.0,9466.0,0.0,2.5416666666666696,0.4981843060891532,2016,0.11562549339508447,17.174999999999997,9.279166666666685,7.895833333333313,-2.5416666666666696,True,False,True
29,1059.0,3171.0,7567.0,2.5416666666666696,2.5416666666666696,0.6968413297725389,2012,0.2920158393958928,9.279166666666685,9.279166666666685,0.0,0.0,False,True,True
30,1061.0,1525.0,9994.0,0.0,4.5333333333333306,0.5572344577641483,2016,0.0850292723724561,19.7,12.13333333333335,7.566666666666649,-4.5333333333333306,True,False,True
30,1061.0,2039.0,9175.0,4.5333333333333306,4.5333333333333306,0.8105123674911661,2012,0.18012367491166079,12.13333333333335,12.13333333333335,0.0,0.0,False,True,True
