state,date,outside
SC,2020-02-27,0.00398
SD,2020-02-27,0.0054600000000000004
TN,2020-02-27,0.00606
TX,2020-02-27,0.00976
UT,2020-02-27,0.00872
VT,2020-02-27,-0.00366
VA,2020-02-27,0.0043
WA,2020-02-27,0.008620000000000001
WV,2020-02-27,0.00106
WI,2020-02-27,0.00944
WY,2020-02-27,-0.000337
AL,2020-02-28,0.0035399999999999997
AK,2020-02-28,0.009609999999999999
AZ,2020-02-28,-0.00309
AR,2020-02-28,0.00562
CA,2020-02-28,0.00331
CO,2020-02-28,0.0011
CT,2020-02-28,0.00792
DE,2020-02-28,0.00869
DC,2020-02-28,0.0051
FL,2020-02-28,0.00282
GA,2020-02-28,0.00952
HI,2020-02-28,0.00249
ID,2020-02-28,0.016
IL,2020-02-28,0.00921
IN,2020-02-28,0.00297
IA,2020-02-28,0.0152
KS,2020-02-28,0.0127
KY,2020-02-28,0.00591
LA,2020-02-28,-0.00123
ME,2020-02-28,0.0027300000000000002
MD,2020-02-28,0.00792
MA,2020-02-28,0.0071
MI,2020-02-28,-0.00149
MN,2020-02-28,0.013000000000000001
MS,2020-02-28,0.00774
MO,2020-02-28,0.015
MT,2020-02-28,0.00692
NE,2020-02-28,0.0123
NV,2020-02-28,0.00343
NH,2020-02-28,-0.00345
NJ,2020-02-28,0.00541
NM,2020-02-28,0.0059700000000000005
NY,2020-02-28,0.00259
NC,2020-02-28,0.0074
ND,2020-02-28,0.0124
OH,2020-02-28,0.00335
OK,2020-02-28,0.00424
OR,2020-02-28,0.0125
PA,2020-02-28,0.00557
RI,2020-02-28,0.0101
SC,2020-02-28,0.00813
SD,2020-02-28,0.0054600000000000004
TN,2020-02-28,0.00744
TX,2020-02-28,0.0111
UT,2020-02-28,0.0101
VT,2020-02-28,-0.00505
VA,2020-02-28,0.00983
WA,2020-02-28,0.01
WV,2020-02-28,0.00106
WI,2020-02-28,0.0108
WY,2020-02-28,0.00243
AL,2020-02-29,0.00855
AK,2020-02-29,0.0121
AZ,2020-02-29,0.00943
AR,2020-02-29,0.0131
CA,2020-02-29,0.008320000000000001
CO,2020-02-29,0.0011
CT,2020-02-29,0.00792
DE,2020-02-29,0.00869
DC,2020-02-29,0.0051
FL,2020-02-29,0.00783
GA,2020-02-29,0.0145
HI,2020-02-29,-1.1900000000000001e-05
ID,2020-02-29,0.0185
IL,2020-02-29,0.0117
IN,2020-02-29,0.00548
IA,2020-02-29,0.0177
KS,2020-02-29,0.0177
KY,2020-02-29,0.00591
LA,2020-02-29,-0.00123
ME,2020-02-29,0.0027300000000000002
MD,2020-02-29,0.00541
MA,2020-02-29,0.0071
MI,2020-02-29,-0.00149
MN,2020-02-29,0.013000000000000001
MS,2020-02-29,0.0153
MO,2020-02-29,0.02
MT,2020-02-29,0.00943
NE,2020-02-29,0.0148
NV,2020-02-29,0.008440000000000001
NH,2020-02-29,-0.000942
NJ,2020-02-29,0.00541
NM,2020-02-29,0.0135
NY,2020-02-29,8.669999999999999e-05
NC,2020-02-29,0.0124
ND,2020-02-29,0.0124
OH,2020-02-29,0.00335
OK,2020-02-29,0.0118
OR,2020-02-29,0.01
PA,2020-02-29,0.00557
RI,2020-02-29,0.0101
SC,2020-02-29,0.0131
SD,2020-02-29,0.00797
TN,2020-02-29,0.009940000000000001
TX,2020-02-29,0.0161
UT,2020-02-29,0.0151
VT,2020-02-29,-0.00505
VA,2020-02-29,0.00983
WA,2020-02-29,0.01
WV,2020-02-29,0.00106
WI,2020-02-29,0.0108
WY,2020-02-29,0.0049299999999999995
AL,2020-03-01,0.0144
AK,2020-03-01,0.0121
AZ,2020-03-01,0.0123
AR,2020-03-01,0.0219
CA,2020-03-01,0.008320000000000001
CO,2020-03-01,0.0069099999999999995
CT,2020-03-01,0.00792
DE,2020-03-01,0.00869
DC,2020-03-01,0.00801
FL,2020-03-01,0.0107
GA,2020-03-01,0.0174
HI,2020-03-01,-0.00292
ID,2020-03-01,0.0214
IL,2020-03-01,0.0146
IN,2020-03-01,0.00838
IA,2020-03-01,0.0206
KS,2020-03-01,0.0235
KY,2020-03-01,0.00882
LA,2020-03-01,-0.00123
ME,2020-03-01,0.0027300000000000002
MD,2020-03-01,0.00541
MA,2020-03-01,0.0071
MI,2020-03-01,-0.00149
MN,2020-03-01,0.013000000000000001
MS,2020-03-01,0.0211
MO,2020-03-01,0.0258
MT,2020-03-01,0.0123
NE,2020-03-01,0.0177
NV,2020-03-01,0.005529999999999999
NH,2020-03-01,-0.00385
NJ,2020-03-01,0.00541
NM,2020-03-01,0.0222
NY,2020-03-01,8.669999999999999e-05
NC,2020-03-01,0.0182
ND,2020-03-01,0.00952
OH,2020-03-01,0.00626
OK,2020-03-01,0.0234
OR,2020-03-01,0.0129
PA,2020-03-01,0.00557
RI,2020-03-01,0.0101
SC,2020-03-01,0.016
SD,2020-03-01,0.00797
TN,2020-03-01,0.0158
TX,2020-03-01,0.022000000000000002
UT,2020-03-01,0.0093
VT,2020-03-01,-0.00505
VA,2020-03-01,0.00983
WA,2020-03-01,0.0129
WV,2020-03-01,0.0039700000000000004
WI,2020-03-01,0.0137
WY,2020-03-01,-0.0008789999999999999
AL,2020-03-02,0.0177
AK,2020-03-02,0.0121
AZ,2020-03-02,0.0123
AR,2020-03-02,0.0252
CA,2020-03-02,0.01
CO,2020-03-02,0.0069099999999999995
CT,2020-03-02,0.009609999999999999
DE,2020-03-02,0.00869
DC,2020-03-02,0.0097
FL,2020-03-02,0.0107
GA,2020-03-02,0.0191
HI,2020-03-02,-0.00292
ID,2020-03-02,0.0231
IL,2020-03-02,0.0146
IN,2020-03-02,0.0101
IA,2020-03-02,0.0206
KS,2020-03-02,0.0269
KY,2020-03-02,0.0105
LA,2020-03-02,0.00554
ME,2020-03-02,0.0027300000000000002
MD,2020-03-02,0.00541
MA,2020-03-02,0.00541
MI,2020-03-02,0.000207
MN,2020-03-02,0.0113
MS,2020-03-02,0.0261
MO,2020-03-02,0.0292
MT,2020-03-02,0.013999999999999999
NE,2020-03-02,0.0194
NV,2020-03-02,0.005529999999999999
NH,2020-03-02,-0.000463
NJ,2020-03-02,0.0071
NM,2020-03-02,0.0239
NY,2020-03-02,8.669999999999999e-05
NC,2020-03-02,0.0216
ND,2020-03-02,0.0112
OH,2020-03-02,0.00795
OK,2020-03-02,0.0268
OR,2020-03-02,0.0112
PA,2020-03-02,0.00557
RI,2020-03-02,0.0101
SC,2020-03-02,0.0194
SD,2020-03-02,0.0114
TN,2020-03-02,0.0174
TX,2020-03-02,0.0237
UT,2020-03-02,0.011000000000000001
VT,2020-03-02,-0.00505
VA,2020-03-02,0.0115
WA,2020-03-02,0.0112
WV,2020-03-02,0.0039700000000000004
WI,2020-03-02,0.0137
WY,2020-03-02,0.000813
AL,2020-03-03,0.0191
