state,date,employment
NY,2020-01-17,-0.000239
NC,2020-01-17,-4.41e-05
ND,2020-01-17,-0.0019100000000000002
OH,2020-01-17,-0.00020299999999999997
OK,2020-01-17,0.000379
OR,2020-01-17,-0.000737
PA,2020-01-17,-0.000296
RI,2020-01-17,0.00115
SC,2020-01-17,0.000343
SD,2020-01-17,0.0102
TN,2020-01-17,-0.00149
TX,2020-01-17,-0.00314
UT,2020-01-17,0.000277
VT,2020-01-17,-0.0009130000000000001
VA,2020-01-17,0.000147
WA,2020-01-17,0.00156
WV,2020-01-17,0.00207
WI,2020-01-17,0.000343
WY,2020-01-17,0.001
AL,2020-01-18,-0.0012
AK,2020-01-18,0.000985
AZ,2020-01-18,-0.00183
AR,2020-01-18,-0.00698
CA,2020-01-18,0.00022
CO,2020-01-18,0.0005809999999999999
CT,2020-01-18,0.00041
DE,2020-01-18,-0.0017
DC,2020-01-18,-0.000176
FL,2020-01-18,5.3299999999999995e-05
GA,2020-01-18,-0.000789
HI,2020-01-18,0.005520000000000001
ID,2020-01-18,-0.0026
IL,2020-01-18,-0.000605
IN,2020-01-18,0.0016300000000000002
IA,2020-01-18,-0.000102
KS,2020-01-18,0.00349
KY,2020-01-18,-0.00149
LA,2020-01-18,-0.0015199999999999999
ME,2020-01-18,0.000505
MD,2020-01-18,-0.000614
MA,2020-01-18,0.00108
MI,2020-01-18,0.0009339999999999999
MN,2020-01-18,0.00151
MS,2020-01-18,0.0008619999999999999
MO,2020-01-18,0.000714
MT,2020-01-18,0.00268
NE,2020-01-18,0.00396
NV,2020-01-18,-0.00020899999999999998
NH,2020-01-18,0.00141
NJ,2020-01-18,0.000267
NM,2020-01-18,-0.00176
NY,2020-01-18,0.0008
NC,2020-01-18,0.000453
ND,2020-01-18,0.000759
OH,2020-01-18,0.00018999999999999998
OK,2020-01-18,0.00126
OR,2020-01-18,0.00025499999999999996
PA,2020-01-18,0.00017900000000000001
RI,2020-01-18,0.0021
SC,2020-01-18,0.0011
SD,2020-01-18,0.0113
TN,2020-01-18,-0.000484
TX,2020-01-18,-0.00173
UT,2020-01-18,0.00137
VT,2020-01-18,-0.000923
VA,2020-01-18,0.000293
WA,2020-01-18,0.00323
WV,2020-01-18,0.00331
WI,2020-01-18,0.00124
WY,2020-01-18,0.00242
AL,2020-01-19,-0.000489
AK,2020-01-19,0.0017100000000000001
AZ,2020-01-19,-0.00132
AR,2020-01-19,-0.006379999999999999
CA,2020-01-19,0.00143
CO,2020-01-19,0.0016
CT,2020-01-19,0.0009539999999999999
DE,2020-01-19,-0.0009339999999999999
DC,2020-01-19,0.0008320000000000001
FL,2020-01-19,0.00126
GA,2020-01-19,-1.5399999999999998e-05
HI,2020-01-19,0.007690000000000001
ID,2020-01-19,-0.000389
IL,2020-01-19,0.000225
IN,2020-01-19,0.00257
IA,2020-01-19,0.00103
KS,2020-01-19,0.00322
KY,2020-01-19,-0.00048600000000000005
LA,2020-01-19,-0.000261
ME,2020-01-19,0.000997
MD,2020-01-19,4.8200000000000006e-05
MA,2020-01-19,0.0016
MI,2020-01-19,0.00207
MN,2020-01-19,0.0020399999999999997
MS,2020-01-19,0.00126
MO,2020-01-19,0.00098
MT,2020-01-19,0.00371
NE,2020-01-19,0.0028399999999999996
NV,2020-01-19,0.000566
NH,2020-01-19,0.0020800000000000003
NJ,2020-01-19,0.000968
NM,2020-01-19,0.000412
NY,2020-01-19,0.00173
NC,2020-01-19,0.000889
ND,2020-01-19,0.00329
OH,2020-01-19,0.000535
OK,2020-01-19,0.00198
OR,2020-01-19,0.00123
PA,2020-01-19,0.000616
RI,2020-01-19,0.00286
SC,2020-01-19,0.0017800000000000001
SD,2020-01-19,0.012
TN,2020-01-19,0.000482
TX,2020-01-19,-0.000342
UT,2020-01-19,0.00235
VT,2020-01-19,-0.000766
VA,2020-01-19,0.00042300000000000004
WA,2020-01-19,0.00455
WV,2020-01-19,0.004229999999999999
WI,2020-01-19,0.00205
WY,2020-01-19,0.0037
AL,2020-01-20,0.00027
AK,2020-01-20,0.00238
AZ,2020-01-20,-0.0008029999999999999
AR,2020-01-20,-0.00532
CA,2020-01-20,0.0025399999999999997
CO,2020-01-20,0.00251
CT,2020-01-20,0.00145
DE,2020-01-20,-0.00010400000000000001
DC,2020-01-20,0.0017399999999999998
FL,2020-01-20,0.00236
GA,2020-01-20,0.0007559999999999999
HI,2020-01-20,0.00975
ID,2020-01-20,0.00168
IL,2020-01-20,0.0010400000000000001
IN,2020-01-20,0.0033200000000000005
IA,2020-01-20,0.00205
KS,2020-01-20,0.0028
KY,2020-01-20,0.00048499999999999997
LA,2020-01-20,0.000993
ME,2020-01-20,0.00145
MD,2020-01-20,0.000705
MA,2020-01-20,0.00205
MI,2020-01-20,0.0030600000000000002
MN,2020-01-20,0.00245
MS,2020-01-20,0.00165
MO,2020-01-20,0.0012
MT,2020-01-20,0.0045
NE,2020-01-20,0.00162
NV,2020-01-20,0.0012699999999999999
NH,2020-01-20,0.0026899999999999997
NJ,2020-01-20,0.00162
NM,2020-01-20,0.00243
NY,2020-01-20,0.0025399999999999997
NC,2020-01-20,0.0012699999999999999
ND,2020-01-20,0.0055899999999999995
OH,2020-01-20,0.000834
