state,date,tweet_id,subj,pol,vaderPol
CO,2020-03-31,1245127016237502464,0.9,0.6,0.1516
CO,2020-04-03,1246102128982024194,0.0,0.0,0.0
CO,2020-04-02,1245801942632161280,0.2,-0.1,-0.6908
CO,2020-03-29,1244119582857728001,0.0,0.0,0.0
CO,2020-04-02,1245558941771153409,0.5333333333333333,-0.26666666666666666,-0.2023
CO,2020-03-03,1234983416950444033,0.0,0.0,0.0
CO,2020-03-18,1240099253629915137,0.0,0.0,0.0
CO,2020-03-18,1240262223433543680,0.65,0.35,0.0
CO,2020-01-25,1220973222788837376,0.5,0.5,-0.7184
CO,2020-03-25,1242958241778171904,0.3833333333333333,0.10000000000000002,0.34
CO,2020-04-01,1245346575691288576,0.3452380952380952,0.2619047619047619,0.0
CO,2020-03-06,1236070120562323456,0.45454545454545453,0.13636363636363635,0.0
CO,2020-03-29,1244240923623444484,0.6000000000000001,0.7,-0.1779
CO,2020-04-23,1253139462630117385,1.0,-0.703125,-0.7712
CO,2020-03-18,1240099152563822593,0.25555555555555554,0.01527777777777778,0.0
CO,2020-05-01,1256320628619005952,0.4,0.125,0.0516
CO,2020-01-31,1223188246579965952,0.35984848484848486,0.21212121212121213,0.4019
CO,2020-04-23,1253117341648343041,0.06666666666666667,0.03333333333333333,0.2732
CO,2020-04-04,1246323156681232384,0.22083333333333333,-0.04583333333333334,0.3182
CO,2020-04-02,1245724280911998977,1.0,-1.0,0.0
CO,2020-04-04,1246472393989615617,0.5386363636363636,0.05909090909090911,0.0018
CO,2020-04-02,1245531662034796546,0.0,0.0,0.0772
CO,2020-04-04,1246540190832680960,0.5,0.625,0.0
CO,2020-04-01,1245187850586316800,0.0,0.0,0.0
CO,2020-04-11,1249123567188443139,0.06666666666666667,0.0,0.0
CO,2020-03-29,1244372314105368576,0.6,-0.4,-0.5809
CO,2020-03-06,1236021246598328320,0.75,0.45,0.2023
CO,2020-04-23,1253167970731393025,0.0,0.0,-0.4753
CO,2020-01-25,1220957039523958786,0.35,0.05,0.0516
CO,2020-03-31,1245135517878038528,0.375,-0.125,0.2732
CO,2020-01-29,1222510431627104258,0.16666666666666666,0.125,0.0
CO,2020-04-02,1245745155874803712,1.0,-1.0,-0.6114
CO,2020-03-06,1236062190890672128,0.0,0.0,0.0
CO,2020-03-21,1241464093002747904,0.5,0.25,0.7177
CO,2020-03-28,1243923850850635782,0.4,-0.1,0.5267
CO,2020-04-03,1245968830649847808,0.6,0.5,0.5574
CO,2020-03-27,1243362439044812805,0.9,0.25,0.0
CO,2020-03-28,1243899272484904962,0.1,0.125,0.3595
CO,2020-03-27,1243686310453194754,0.3944444444444445,-0.07777777777777779,-0.6597
CO,2020-03-25,1242705074079465472,0.0,0.0,0.296
CO,2020-03-09,1237155264115232770,0.2833333333333333,0.06818181818181818,-0.296
CO,2020-03-21,1241340230860337153,0.48484848484848486,-0.02121212121212122,-0.4767
CO,2020-03-24,1242573398057922560,0.4962962962962963,0.21481481481481482,0.7088
CO,2020-03-14,1238641951660007427,0.8888888888888888,0.625,0.3802
CO,2020-04-03,1245934537130913797,0.0,0.0,-0.5574
CO,2020-04-04,1246460473639178242,0.0,0.0,0.4939
CO,2020-03-26,1243140795152003073,0.0,0.0,0.68
CO,2020-05-01,1256321383195238401,0.18888888888888888,0.14722222222222223,0.5837
CO,2020-04-04,1246300373003927557,0.0,0.0,0.0
CO,2020-03-03,1234989271141908481,0.06666666666666667,0.0,0.0972
CO,2020-03-06,1236038660794888193,0.725,-0.26666666666666666,-0.7506
CO,2020-04-02,1245795970090074112,0.29583333333333334,0.25,0.6052
CO,2020-04-04,1246261584521035777,0.75,0.5,0.5949
CO,2020-03-23,1242065577243365377,0.30000000000000004,0.2,0.0
CO,2020-04-01,1245334202611949570,0.5,0.0,0.296
CO,2020-04-04,1246323500769574913,0.55,0.35,0.0
CO,2020-03-23,1241895946562101248,0.6,-0.05,0.0
CO,2020-01-29,1222500177585377281,0.75,0.8,0.6249
CO,2020-03-22,1241815839856185344,0.5444444444444445,-0.09722222222222224,-0.5848
CO,2020-03-27,1243367900003446785,0.0,0.0,0.0
CO,2020-04-04,1246569999558303744,0.4,0.75,0.4404
CO,2020-03-27,1243668493578321920,0.5,0.0,-0.6269
CO,2020-02-12,1227701730927874048,0.0,0.0,-0.9118
CO,2020-03-29,1244147705032478721,0.9,-0.8,-0.765
CO,2020-04-15,1250510997258858496,0.5,0.16666666666666666,0.0
CO,2020-03-29,1244268983144022021,0.5,0.5,0.4404
CO,2020-04-20,1252288345587290112,0.1,-0.1,-0.5574
CO,2020-03-14,1238658661578240000,0.2708333333333333,0.02083333333333333,0.0
CO,2020-03-23,1242071310622011392,0.45454545454545453,0.13636363636363635,0.0
