state,date,tweet_id,subj,pol,vaderPol
IN,2020-03-26,1243322756042760193,0.42962962962962964,0.18148148148148147,0.4926
IN,2020-03-29,1244349237204221954,0.3333333333333333,0.25,0.0
IN,2020-04-01,1245369614902726657,0.0,0.0,0.0
IN,2020-03-26,1243279680163188754,0.3227272727272727,0.16363636363636364,0.5574
IN,2020-04-01,1245334697514860549,0.3,1.0,0.6369
IN,2020-03-31,1244796857575931904,0.18333333333333332,0.5166666666666667,0.8176
IN,2020-03-04,1235019258477895680,0.5357142857142857,0.2857142857142857,-0.5423
IN,2020-04-23,1253410322137837568,0.5,0.13636363636363635,0.7096
IN,2020-03-31,1244813664022118400,0.8,-1.0,-0.4912
IN,2020-03-24,1242459237659410433,0.0,0.0,0.0
IN,2020-03-24,1242584294914220033,0.0,0.0,-0.636
IN,2020-03-30,1244643761201860608,0.9,-0.8,-0.2023
IN,2020-03-25,1242791154103529473,0.54375,-0.28125,0.0
IN,2020-03-18,1240305886142386177,0.18333333333333332,0.5166666666666667,0.4588
IN,2020-03-28,1243886823673417728,0.75,-0.078125,0.9175
IN,2020-03-23,1242150729801965574,0.0,0.0,-0.3182
IN,2020-02-12,1227740943241154560,0.8,-0.8,-0.3818
IN,2020-03-28,1243766355284893696,0.0,0.0,-0.34
IN,2020-04-28,1255215978499182598,0.0,0.0,0.0
IN,2020-03-30,1244672525918965765,0.5,0.5,0.296
IN,2020-03-20,1240805578793979909,1.0,-0.5,-0.4767
IN,2020-03-21,1241396346273349632,0.5,0.3,0.743
IN,2020-03-04,1235006806381989889,0.5,-0.1,0.0
IN,2020-04-01,1245479581349543936,0.0,0.0,0.0
IN,2020-03-25,1242785512613728256,0.3333333333333333,-0.3666666666666666,-0.5574
IN,2020-03-13,1238575551159336960,0.6333333333333333,-0.16666666666666666,-0.2023
IN,2020-03-29,1244287635377487874,0.625,0.5,0.6124
IN,2020-03-27,1243681138532585474,0.3,0.0,-0.3818
IN,2020-03-30,1244631450831540225,0.2,-0.15,-0.7096
IN,2020-04-03,1246170966243323907,0.0,0.0,0.0
IN,2020-03-06,1236045464119713792,0.5,0.5,-0.5994
IN,2020-03-25,1242658479560626178,0.06666666666666667,0.03333333333333333,0.0
IN,2020-03-19,1240548195236810754,0.0,0.0,0.5423
IN,2020-03-24,1242246792097550337,0.06666666666666667,0.03333333333333333,0.0
IN,2020-03-26,1243239118030671875,0.375,-0.125,0.0
IN,2020-04-23,1253398573988950026,0.5454545454545454,0.22727272727272727,0.0
IN,2020-03-30,1244441537343303682,0.65,0.15,0.4588
IN,2020-04-03,1245887733463003137,0.0,0.0,-0.296
IN,2020-03-29,1244217687250817024,1.0,0.375,0.0
IN,2020-04-01,1245462481021083648,0.43333333333333335,0.2375,0.7351
IN,2020-03-04,1234993078747795456,0.0,0.0,0.4939
IN,2020-03-31,1244962029040959489,0.1,0.0,0.6124
IN,2020-03-04,1234997807829749761,0.0,0.0,0.0
IN,2020-03-13,1238595842593914880,0.5357142857142857,0.2857142857142857,-0.34
IN,2020-03-29,1244349795340148736,0.5,0.5,0.0
IN,2020-02-12,1227704009772949506,0.33125,0.25,0.6369
IN,2020-04-04,1246421068195213314,0.3,0.0,0.1027
IN,2020-04-02,1245553933457731585,0.0,0.0,0.0
IN,2020-04-02,1245525051589513216,0.4,-0.25,-0.6908
IN,2020-03-31,1244802419353096192,0.3833333333333333,0.3625,0.4404
IN,2020-03-27,1243397193123295233,0.7166666666666668,0.11666666666666665,-0.7783
IN,2020-03-20,1241082829292949504,0.0,0.0,0.0
IN,2020-03-23,1242134061579218944,0.0,0.0,0.0
IN,2020-03-20,1240993542161522692,0.5,0.375,0.6588
IN,2020-04-28,1255210978456801286,0.0,0.0,0.0
IN,2020-03-27,1243340330788929536,0.6625,0.21250000000000002,-0.0258
IN,2020-04-04,1246403909645676544,0.0,0.0,0.3382
IN,2020-03-25,1242872603112505352,0.5,0.25,0.0
IN,2020-03-24,1242430640722763777,0.375,-0.125,0.3612
IN,2020-04-03,1245905492108627969,0.0,0.0,0.0
IN,2020-04-03,1245899498494328832,0.5222222222222223,0.17777777777777778,0.0
IN,2020-03-03,1234981996318707712,0.0,0.0,-0.5994
IN,2020-03-29,1244390127494971392,0.1,0.0,0.0772
IN,2020-03-20,1241032502019608577,0.20555555555555557,0.16666666666666666,-0.3802
IN,2020-03-18,1240115913220915201,0.0,0.0,0.0
IN,2020-03-18,1240310780790276097,0.575,0.05,0.6249
IN,2020-03-20,1241094020388044807,0.0,0.0,0.0
IN,2020-03-13,1238565661200310273,0.2,-0.30000000000000004,-0.4588
IN,2020-03-27,1243657596755681281,0.06666666666666667,0.03333333333333333,-0.296
IN,2020-03-08,1236444074858754054,0.0,0.0,-0.5859
IN,2020-04-04,1246471735467225088,0.8,-0.6,-0.4664
IN,2020-03-14,1238630295353659392,0.375,-0.125,-0.296
IN,2020-03-24,1242595573104082944,0.0,0.0,0.0
IN,2020-04-04,1246238435318419456,0.22727272727272727,0.06818181818181818,0.0
IN,2020-04-02,1245565229058142209,1.0,0.1,-0.128
IN,2020-03-31,1244962176579878912,0.75,0.75,0.6249
IN,2020-04-02,1245825111875346434,0.30000000000000004,0.2,0.0
IN,2020-03-26,1243140169873702912,0.0,0.0,0.0
